0	0	0	-150	-75	0
0	0	0	-150	-75	0
0	0	0	-150	-75	0
0.012375	-1.0255e-10	0.021695	-150	-75	0
0.012375	-1.0255e-10	0.021695	-150	-75	0
0.049752	-2.8419e-09	0.087218	-150	-75	0
0.049752	-2.8419e-09	0.087218	-150	-75	0
0.11213	-1.4737e-08	0.19657	-150	-75	0
0.11213	-1.4737e-08	0.19657	-150	-75	0
0.19951	-4.6752e-08	0.34975	-150	-75	0
0.19951	-4.6752e-08	0.34975	-150	-75	0
0.29951	-1.0541e-07	0.52506	-150	-75	0
0.29951	-1.0541e-07	0.52506	-150	-75	0
0.39952	-1.872e-07	0.70037	-150	-75	0
0.39952	-1.872e-07	0.70037	-150	-75	0
0.49952	-2.9252e-07	0.87568	-150	-75	0
0.49952	-2.9252e-07	0.87568	-150	-75	0
0.59953	-4.2118e-07	1.051	-150	-75	0
0.59953	-4.2118e-07	1.051	-150	-75	0
0.69953	-5.7363e-07	1.2263	-150	-75	0
0.69953	-5.7363e-07	1.2263	-150	-75	0
0.79954	-7.4913e-07	1.4016	-150	-75	0
0.79954	-7.4913e-07	1.4016	-150	-75	0
0.89954	-9.4845e-07	1.5769	-150	-75	0
0.89954	-9.4845e-07	1.5769	-150	-75	0
0.99955	-1.1712e-06	1.7522	-150	-75	0
0.99955	-1.1712e-06	1.7522	-150	-75	0
1.0996	-1.4171e-06	1.9276	-150	-75	0
1.0996	-1.4171e-06	1.9276	-150	-75	0
1.1996	-1.6865e-06	2.1029	-150	-75	0
1.1996	-1.6865e-06	2.1029	-150	-75	0
1.2996	-1.9797e-06	2.2782	-150	-75	0
1.2996	-1.9797e-06	2.2782	-150	-75	0
1.3996	-2.296e-06	2.4535	-150	-75	0
1.3996	-2.296e-06	2.4535	-150	-75	0
1.4996	-2.6357e-06	2.6288	-150	-75	0
1.4996	-2.6357e-06	2.6288	-150	-75	0
1.5996	-2.999e-06	2.8041	-150	-75	0
1.5996	-2.999e-06	2.8041	-150	-75	0
1.6996	-3.3859e-06	2.9794	-150	-75	0
1.6996	-3.3859e-06	2.9794	-150	-75	0
1.7996	-3.796e-06	3.1548	-150	-75	0
1.7996	-3.796e-06	3.1548	-150	-75	0
1.8996	-4.2295e-06	3.3301	-150	-75	0
1.8996	-4.2295e-06	3.3301	-150	-75	0
1.9996	-4.6865e-06	3.5054	-150	-75	0
1.9996	-4.6865e-06	3.5054	-150	-75	0
2.0996	-5.1673e-06	3.6807	-150	-75	0
2.0996	-5.1673e-06	3.6807	-150	-75	0
2.1996	-5.6712e-06	3.856	-150	-75	0
2.1996	-5.6712e-06	3.856	-150	-75	0
2.2996	-6.1986e-06	4.0313	-150	-75	0
2.2996	-6.1986e-06	4.0313	-150	-75	0
2.3996	-6.7495e-06	4.2067	-150	-75	0
2.3996	-6.7495e-06	4.2067	-150	-75	0
2.4997	-7.3238e-06	4.382	-150	-75	0
2.4997	-7.3238e-06	4.382	-150	-75	0
2.5997	-7.9214e-06	4.5573	-150	-75	0
2.5997	-7.9214e-06	4.5573	-150	-75	0
2.6997	-8.5428e-06	4.7326	-150	-75	0
2.6997	-8.5428e-06	4.7326	-150	-75	0
2.7997	-9.1875e-06	4.9079	-150	-75	0
2.7997	-9.1875e-06	4.9079	-150	-75	0
2.8997	-9.8556e-06	5.0832	-150	-75	0
2.8997	-9.8556e-06	5.0832	-150	-75	0
2.9997	-1.0547e-05	5.2586	-150	-75	0
2.9997	-1.0547e-05	5.2586	-150	-75	0
3.0997	-1.1262e-05	5.4339	-150	-75	0
3.0997	-1.1262e-05	5.4339	-150	-75	0
3.1997	-1.2e-05	5.6092	-150	-75	0
3.1997	-1.2e-05	5.6092	-150	-75	0
3.2997	-1.2762e-05	5.7845	-150	-75	0
3.2997	-1.2762e-05	5.7845	-150	-75	0
3.3997	-1.3547e-05	5.9598	-150	-75	0
3.3997	-1.3547e-05	5.9598	-150	-75	0
3.4997	-1.4356e-05	6.1351	-150	-75	0
3.4997	-1.4356e-05	6.1351	-150	-75	0
3.5998	-1.5189e-05	6.3105	-150	-75	0
3.5998	-1.5189e-05	6.3105	-150	-75	0
3.6998	-1.6044e-05	6.4858	-150	-75	0
3.6998	-1.6044e-05	6.4858	-150	-75	0
3.7998	-1.6923e-05	6.6611	-150	-75	0
3.7998	-1.6923e-05	6.6611	-150	-75	0
3.8998	-1.7826e-05	6.8364	-150	-75	0
3.8998	-1.7826e-05	6.8364	-150	-75	0
3.9998	-1.8752e-05	7.0117	-150	-75	0
3.9998	-1.8752e-05	7.0117	-150	-75	0
4.0998	-1.9701e-05	7.1871	-150	-75	0
4.0998	-1.9701e-05	7.1871	-150	-75	0
4.1998	-2.0674e-05	7.3624	-150	-75	0
4.1998	-2.0674e-05	7.3624	-150	-75	0
4.2998	-2.1671e-05	7.5377	-150	-75	0
4.2998	-2.1671e-05	7.5377	-150	-75	0
4.3999	-2.269e-05	7.713	-150	-75	0
4.3999	-2.269e-05	7.713	-150	-75	0
4.4999	-2.3734e-05	7.8883	-150	-75	0
4.4999	-2.3734e-05	7.8883	-150	-75	0
4.5999	-2.48e-05	8.0637	-150	-75	0
4.5999	-2.48e-05	8.0637	-150	-75	0
4.6999	-2.5891e-05	8.239	-150	-75	0
4.6999	-2.5891e-05	8.239	-150	-75	0
4.7999	-2.7004e-05	8.4143	-150	-75	0
4.7999	-2.7004e-05	8.4143	-150	-75	0
4.8999	-2.8141e-05	8.5896	-150	-75	0
4.8999	-2.8141e-05	8.5896	-150	-75	0
4.9999	-2.9302e-05	8.765	-150	-75	0
