0	1	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0.019945	1.0927	1.3869	10	5.2931	1.2976e-15
0.019945	1.0927	1.3869	10	5.2931	1.2976e-15
0.020506	1.2798	2.8837	10	4.8601	-1.5461e-15
0.020506	1.2798	2.8837	10	4.8601	-1.5461e-15
-0.02578	1.0186	4.6462	10	-8.4282	0
-0.02578	1.0186	4.6462	10	-8.4282	0
0.004843	1.0014	5.9725	10	-2.915e-14	2.1606e-15
0.004843	1.0014	5.9725	10	-2.915e-14	2.1606e-15
0.21653	1.0014	7.5206	-1.4	-2.9002e-14	-3.6438e-15
0.21653	1.0014	7.5206	-1.4	-2.9002e-14	-3.6438e-15
1.3019	1.0014	8.8321	-31.4	-2.3295e-14	-1.7657e-14
1.3019	1.0014	8.8321	-31.4	-2.3295e-14	-1.7657e-14
2.898	1.0014	9.4254	-61.4	-1.1345e-14	-2.6938e-14
2.898	1.0014	9.4254	-61.4	-1.1345e-14	-2.6938e-14
4.5295	1.0014	9.353	-80	-2.1606e-15	-2.915e-14
4.5295	1.0014	9.353	-80	-2.1606e-15	-2.915e-14
6.0601	0.99856	9.1876	-80	0	8.0102
6.0601	0.99856	9.1876	-80	0	8.0102
7.5069	0.94433	9.4972	-80	-3.9757e-16	-6.977
7.5069	0.94433	9.4972	-80	-3.9757e-16	-6.977
9.0332	1.0012	9.3565	-80	-2.4314e-15	-1.6199e-14
9.0332	1.0012	9.3565	-80	-2.4314e-15	-1.6199e-14
10.585	1.0012	9.1154	-92.6	1.1609e-15	-1.6339e-14
10.585	1.0012	9.1154	-92.6	1.1609e-15	-1.6339e-14
11.874	1.0012	8.0022	-122.6	9.1749e-15	-1.357e-14
11.874	1.0012	8.0022	-122.6	9.1749e-15	-1.357e-14
12.435	1.0012	6.393	-152.6	1.4731e-14	-7.1642e-15
12.435	1.0012	6.393	-152.6	1.4731e-14	-7.1642e-15
12.357	1.0012	4.7689	-170	1.6199e-14	-2.4314e-15
