0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0.10291	-0.0013366	-0.066549	1.9461	0.021544	-0.0059391
0.10291	-0.0013366	-0.066549	1.9461	0.021544	-0.0059391
0.2109	-7.3569e-06	-0.13034	3.9407	0.0033519	0.004878
0.2109	-7.3569e-06	-0.13034	3.9407	0.0033519	0.004878
0.31946	0.0010048	-0.18966	5.9018	0.0024101	0.032492
0.31946	0.0010048	-0.18966	5.9018	0.0024101	0.032492
0.42991	-0.00078002	-0.246	7.8748	0.024544	0.014568
0.42991	-0.00078002	-0.246	7.8748	0.024544	0.014568
0.54337	-7.3535e-05	-0.29829	9.8589	0.022018	0.030922
0.54337	-7.3535e-05	-0.29829	9.8589	0.022018	0.030922
0.66069	0.0013887	-0.34725	11.875	0.016147	0.063929
0.66069	0.0013887	-0.34725	11.875	0.016147	0.063929
0.77904	0.0015489	-0.39218	13.887	0.018958	0.072682
